PlayerID,FirstTotalScore,FirstLivesLeft,FirstSecondsCorrect,FirstSecondsWrong,FirstPhoneOpened,FirstTimestamp,LastTotalScore,LastLivesLeft,LastSecondsCorrect,LastSecondsWrong,LastPhoneOpened,LastTimestamp
P_0001,43,3,13,0,0,2026-03-27 11:01:40,0,0,0,0,0,2026-03-28 03:42:52,
P_0004,-37,1,18,13,0,2026-03-27 11:39:39,,,,,,,
P_0005,46,3,16,0,0,2026-03-27 11:40:49,,,,,,,
P_0006,44,3,14,0,0,2026-03-27 13:18:58,-9,3,6,9,0,2026-03-27 13:22:58,
P_0001,45,2,25,0,0,2026-03-28 02:09:25,,,,,,,
P_0003,41,1,31,0,0,2026-03-28 02:20:20,59,2,39,0,0,2026-03-28 02:52:14,
P_0001,52,3,22,0,0,2026-03-28 02:30:32,,,,,,,
P_0002,-4,3,11,9,0,2026-03-28 02:43:53,62,3,32,0,0,2026-03-28 02:47:11,
P_0003,12,3,17,7,0,2026-03-28 02:48:07,,,,,,,
P_0001,0,0,0,0,0,2026-03-28 03:38:32,,,,,,,
